experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern05_rank4,000079.JPG,0.7620606155870523,[0.95778411 0.94764773 0.94501619 0.54295883 0.54997173 0.6289851 ],0.12973122233139792,0.24244241508877007,1.662966012954712,833,209
matern05_rank4,000072.JPG,0.6718923110997418,[0.99500379 0.98833419 0.97449483 0.42871446 0.258734   0.38607259],0.1305803658103028,0.23246057613387283,1.604689121246338,817,205
matern05_rank5,000115.JPG,0.6899349984449564,[0.99616364 0.98863811 0.98371658 0.41452163 0.37512094 0.38144909],0.12888934094490453,0.2075395537003829,2.1778512001037598,982,246
matern05_rank5,000117.JPG,0.6955094761832582,[0.99456186 0.98728135 0.99155134 0.45434151 0.40621556 0.33910524],0.13658324073423042,0.2598905465365428,1.7783129215240479,865,217
matern05_rank5,000079.JPG,0.7631750115067293,[0.96839855 0.95239426 0.94786645 0.54789004 0.49055527 0.67194549],0.12983465110833603,0.2390139136172007,1.6767261028289795,833,209
matern05_rank5,000072.JPG,0.6797330430699645,[0.99509461 0.99248314 0.97562241 0.3905205  0.34648865 0.37818895],0.129334315440771,0.21427156780500892,1.6817641258239746,817,205
matern05_rank6,000115.JPG,0.6767163226350471,[0.99459719 0.99086251 0.98489712 0.43779989 0.32711308 0.32502814],0.13056112655627136,0.21955936451637326,2.134674310684204,982,246
matern05_rank6,000117.JPG,0.6950976505728471,[0.991031   0.99280878 0.9915155  0.34223583 0.36943359 0.48356121],0.1390419850225405,0.2568435480019312,1.7990961074829102,865,217
matern05_rank6,000079.JPG,0.78118516730015,[0.96332774 0.95453386 0.94569561 0.58586066 0.56237289 0.67532025],0.12444328333813838,0.20526414314042868,1.6984670162200928,833,209
matern05_rank6,000072.JPG,0.6813996543429783,[0.99624588 0.99206693 0.97802371 0.36920788 0.35350139 0.39935215],0.12950387199212945,0.21509931114586198,1.6556637287139893,817,205
matern15_rank2,000115.JPG,0.5642314020035694,[0.9864853  0.97910974 0.96954725 0.17638739 0.15035872 0.12350001],0.15268896765131085,0.30873785151976685,1.9809379577636719,982,246
matern15_rank2,000117.JPG,0.628009665854338,[0.97634373 0.98207637 0.95392879 0.23541377 0.2509057  0.36938963],0.15343014092582002,0.3149819050435291,1.6658399105072021,865,217
matern15_rank2,000079.JPG,0.6859861928923344,[0.93051924 0.91158165 0.90975682 0.40243677 0.40035774 0.56126493],0.14890822364742973,0.3205442315764281,1.5562598705291748,833,209
matern15_rank2,000072.JPG,0.5489672949991518,[0.98825451 0.98170596 0.96680708 0.1286535  0.10055085 0.12783188],0.1535235780170954,0.31701524430384564,1.5253167152404785,817,205
